"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23","29,252.1","28,473.7","30,964.9","27,054.3","2.03M","2.73%"
"Mar 23","28,473.7","23,130.6","29,160.4","19,591.8","10.26M","23.10%"
"Feb 23","23,130.5","23,124.7","25,236.8","21,418.7","9.09M","0.02%"
"Jan 23","23,125.1","16,537.5","23,952.9","16,499.7","8.98M","39.83%"
"Dec 22","16,537.4","17,163.4","18,351.8","16,331.2","6.61M","-3.65%"
"Nov 22","17,163.9","20,496.1","21,464.7","15,504.2","10.30M","-16.26%"
"Oct 22","20,496.3","19,422.9","21,038.1","18,207.9","8.29M","5.53%"
"Sep 22","19,423.0","20,049.9","22,702.5","18,191.8","10.91M","-3.10%"
"Aug 22","20,043.9","23,303.4","25,205.7","19,542.9","6.55M","-13.99%"
"Jul 22","23,303.4","19,926.6","24,605.3","18,794.4","5.79M","16.95%"
"Jun 22","19,926.6","31,793.1","31,969.9","17,630.5","3.79M","-37.32%"
"May 22","31,793.4","37,642.0","40,021.0","26,500.5","4.67B","-15.56%"
"Apr 22","37,650.0","45,529.0","47,435.0","37,596.0","12.14B","-17.30%"
"Mar 22","45,525.0","43,187.2","48,199.0","37,182.1","43.70B","5.41%"
"Feb 22","43,188.2","38,475.6","45,755.2","34,357.4","1.82M","12.18%"
"Jan 22","38,498.6","46,217.5","47,944.9","32,985.6","2.03M","-16.70%"
"Dec 21","46,219.5","56,891.7","59,064.3","42,587.8","1.90M","-18.75%"
"Nov 21","56,882.9","61,310.1","68,990.6","53,448.3","1.85M","-7.22%"
"Oct 21","61,309.6","43,824.4","66,967.1","43,292.9","2.18M","39.90%"
"Sep 21","43,823.3","47,129.2","52,885.3","39,646.8","2.21M","-7.02%"
"Aug 21","47,130.4","41,510.0","50,498.8","37,365.4","2.14M","13.42%"
"Jul 21","41,553.7","35,030.7","42,285.3","29,310.2","2.44M","18.63%"
"Jun 21","35,026.9","37,294.3","41,318.0","28,901.8","4.14M","-6.09%"
"May 21","37,298.6","57,719.1","59,523.9","30,261.7","5.33M","-35.38%"
"Apr 21","57,720.3","58,763.2","64,778.0","47,098.5","2.97M","-1.78%"
"Mar 21","58,763.7","45,160.5","61,795.8","45,008.8","3.01M","30.11%"
"Feb 21","45,164.0","33,106.8","58,335.1","32,324.9","4.01M","36.41%"
"Jan 21","33,108.1","28,951.7","41,921.7","28,204.5","5.50M","14.37%"
"Dec 20","28,949.4","19,697.8","29,298.8","17,600.1","3.85M","46.97%"
"Nov 20","19,698.1","18,394.6","19,831.2","16,235.2","4.05M","42.77%"
"Oct 20","13,797.3","10,776.6","14,065.4","10,387.6","2.41M","28.04%"
"Sep 20","10,776.1","11,644.2","12,045.9","9,877.1","83.88M","-7.46%"
"Aug 20","11,644.2","11,333.2","12,444.1","10,730.7","15.39M","2.74%"
"Jul 20","11,333.4","10,961.1","11,434.8","10,771.8","13.21M","24.06%"
"Jun 20","9,135.4","9,454.5","10,301.8","8,865.3","15.35M","-3.38%"
"May 20","9,454.8","8,628.6","10,033.0","8,235.6","38.48M","9.57%"
"Apr 20","8,629.0","6,412.4","9,437.5","6,157.4","39.41M","34.56%"
"Mar 20","6,412.5","8,543.8","9,180.8","3,869.5","48.24M","-24.94%"
"Feb 20","8,543.7","9,349.3","10,482.6","8,543.7","23.76M","-8.62%"
"Jan 20","9,349.1","7,196.4","9,569.0","6,884.1","23.56M","29.91%"
"Dec 19","7,196.4","7,546.5","7,702.2","6,462.2","21.03M","-4.64%"
"Nov 19","7,546.6","9,153.1","9,500.4","6,534.8","21.33M","-17.55%"
"Oct 19","9,152.6","8,285.0","10,540.0","7,329.2","19.93M","10.48%"
"Sep 19","8,284.3","9,594.7","10,896.2","7,749.0","13.58M","-13.65%"
"Aug 19","9,594.4","10,081.9","12,291.9","9,343.0","17.53M","-4.84%"
"Jul 19","10,082.0","10,821.4","13,134.4","9,082.6","23.61M","-6.81%"
"Jun 19","10,818.6","8,556.9","13,929.8","7,480.4","22.96M","26.41%"
"May 19","8,558.3","5,321.1","9,045.9","5,319.5","44.06M","60.85%"
"Apr 19","5,320.8","4,102.3","5,594.4","4,076.8","54.03M","29.70%"
"Mar 19","4,102.3","3,816.7","4,138.1","3,681.8","81.62M","7.49%"
"Feb 19","3,816.6","3,437.7","4,194.2","3,382.5","23.13M","11.04%"
"Jan 19","3,437.2","3,709.5","4,070.5","3,368.2","15.72M","-7.34%"
"Dec 18","3,709.4","4,038.7","4,316.1","3,177.0","15.70M","-8.18%"
"Nov 18","4,039.7","6,365.9","6,594.3","3,634.2","8.71M","-36.54%"
"Oct 18","6,365.9","6,635.2","7,358.4","6,034.9","58.80M","-4.06%"
"Sep 18","6,635.2","7,032.4","7,409.9","5,977.0","154.15M","-5.67%"
"Aug 18","7,033.8","7,728.5","7,753.2","5,898.3","63.25M","-9.00%"
"Jul 18","7,729.4","6,398.5","8,484.6","6,398.5","7.06M","20.79%"
"Jun 18","6,398.9","7,502.5","7,775.0","5,785.3","4.78M","-14.71%"
"May 18","7,502.6","9,245.1","9,992.8","7,069.8","5.04M","-18.85%"
